,index,adj neg air pressure raw,adj neg air pressure,current alarm mode,cont air counts raw,cont air counts,makeup wtr cond down raw,makeup wtr cond down,makeup wtr cond up raw,makeup wtr cond up,makeup wtr temp down,makeup wtr temp down raw,makeup wtr temp up,makeup wtr temp up raw,DAS health index,0-15 channel error,16-31 channel error status,error detection status 2,card temperature 2,error detection status 3,card temperature 3,error detection status 4,card temperature 4,error detection status 5,card temperature 5,fc positioning 10V supply,fiss-active-state,fiss-position,mag-current,mag-current-raw,mstat,nfd-1-cps,nfd-1cps-raw,nfd-1-cr,nfd-1-cr-raw,nfd-2-cr,nfd-2-cr-raw,nfd-2-log,nfd-2-log-raw,nfd-3-pwr,nfd-3-pwr-raw,nfd-3-pwr-rng,nfd-4-flux,nfd-4-flux-raw,ram-con-lvl,rom-con-lvl-raw,ram-pool-lvl,ram-pool-lvl-raw,ram-wtr-lvl,ram-wtr-lvl-raw,rcs-scram-rel-q,rcs-scram-st-q,rr-active-state,rr-position,rtpbtempa_00,rtpbtempb_00,rtpctempa_00,rtpctempb_00,rtphactcnta_00,rtphactcntb_00,src-active-state,src-position,ss1-active-state,ss1-position,ss2-active-state,ss2-position,ack-button,manual-scram
5136,4389.0,1.7715,0.0964,1.0,0.0796,1.201,2.0082,1.0082,2.2527,1.2527,25.5702,2.0228,25.2076,2.0083,100.0,0.0,0.0,0.0,23.875,0.0,25.125,0.0,24.875,0.0,23.875,10.0,0.0,0.0069,0.0089,0.0008,2.0,4.9393,1.2775,-0.2662,1.3346,0.0189,1.3657,1.004e-05,1.0009,0.0007,2.7682,11.0,0.065,1.0017,0.1224,2.3096,0.0057,0.9784,0.0681,2.055,0.0,0.0,256.0,-0.1422,24.0,24.0,37.0,36.0,14.0,0.0,0.0,0.0,256.0,-0.0246,256.0,0.0101,0.0,0.0
5137,4390.0,1.7774,0.0972,1.0,0.0795,1.2009,2.0079,1.0079,2.2534,1.2534,25.6596,2.0264,25.1973,2.0079,100.0,0.0,0.0,0.0,23.875,0.0,25.125,0.0,24.875,0.0,23.875,10.0,0.0,0.0053,0.0085,0.0009,2.0,4.9061,1.2763,-0.2723,1.3339,0.015,1.3653,1.004e-05,1.0009,0.0007,2.7685,11.0,0.0671,1.0018,0.111,2.2673,0.0065,1.0348,0.0648,2.0335,0.0,0.0,256.0,-0.1423,24.0,24.0,37.0,36.0,15.0,0.0,0.0,0.0,256.0,-0.0247,256.0,0.0104,0.0,0.0
5138,4391.0,1.7807,0.0976,1.0,0.0793,1.2003,2.0083,1.0083,2.2535,1.2535,25.5935,2.0237,25.1791,2.0072,100.0,0.0,0.0,0.0,23.875,0.0,25.25,0.0,24.875,0.0,24.0,10.0,0.0,0.0095,0.0087,0.0009,2.0,4.8212,1.2733,-0.3296,1.3277,0.0105,1.3648,1.004e-05,1.0008,0.0007,2.7692,11.0,0.0662,1.0018,0.1259,2.3218,0.006,1.0025,0.0577,1.9829,0.0,0.0,256.0,-0.1419,24.0,24.0,37.0,36.0,13.0,0.0,0.0,0.0,256.0,-0.0249,256.0,0.0104,0.0,0.0
5139,4392.0,1.7798,0.0975,1.0,0.0793,1.2002,2.0087,1.0087,2.253,1.253,25.4806,2.0192,25.1814,2.0073,100.0,0.0,0.0,0.0,23.875,0.0,25.25,0.0,24.875,0.0,24.0,10.0,0.0,0.0087,0.0091,0.0009,2.0,4.7907,1.2722,-0.3544,1.325,0.0227,1.3661,1.004e-05,1.0008,0.0007,2.7685,11.0,0.0654,1.0017,0.1177,2.2925,0.0065,1.035,0.0494,1.9158,0.0,0.0,0.0,-0.1424,24.0,24.0,37.0,36.0,13.0,0.0,0.0,0.0,0.0,-0.025,0.0,0.0104,0.0,0.0
5140,4393.0,1.7797,0.0975,1.0,0.0797,1.2013,2.0087,1.0087,2.2528,1.2528,25.4231,2.0169,25.1892,2.0076,100.0,0.0,0.0,0.0,23.875,0.0,25.125,0.0,24.875,0.0,23.875,10.0,0.0,0.0064,0.0088,0.0009,2.0,4.7598,1.271,-0.3313,1.3275,0.0258,1.3665,1.004e-05,1.0009,0.0007,2.7663,11.0,0.0692,1.0018,0.1837,2.4859,0.0054,0.9548,0.0527,1.9436,0.0,0.0,0.0,-0.1423,24.0,24.0,37.0,36.0,14.0,0.0,0.0,0.0,0.0,-0.0246,0.0,0.0106,0.0,0.0
5141,4394.0,1.7778,0.0972,1.0,0.0796,1.2011,2.0081,1.0081,2.2527,1.2527,25.5641,2.0226,25.207,2.0083,100.0,0.0,0.0,0.0,23.875,0.0,25.0,0.0,24.875,0.0,24.0,10.0,0.0,0.006,0.0087,0.0009,2.0,4.8589,1.2746,-0.2566,1.3356,0.0233,1.3662,1.004e-05,1.0009,0.0007,2.7666,11.0,0.0693,1.0018,0.2526,2.6242,0.0054,0.9578,0.0477,1.9004,0.0,0.0,0.0,-0.142,24.0,24.0,37.0,36.0,13.0,0.0,0.0,0.0,0.0,-0.0247,0.0,0.0104,0.0,0.0
5142,4395.0,1.776,0.097,1.0,0.0795,1.201,2.0077,1.0077,2.2534,1.2534,25.6689,2.0268,25.1881,2.0075,100.0,0.0,0.0,0.0,24.0,0.0,25.125,0.0,25.0,0.0,24.0,10.0,0.0,0.0079,0.0092,0.0009,2.0,4.7772,1.2717,-0.339,1.3267,0.0195,1.3658,1.004e-05,1.001,0.0007,2.7672,11.0,0.07,1.0019,0.2064,2.5365,0.0059,0.9962,0.0503,1.9238,0.0,0.0,0.0,-0.1422,24.0,24.0,37.0,36.0,13.0,0.0,0.0,0.0,0.0,-0.0244,0.0,0.0105,0.0,0.0
5143,4396.0,1.7727,0.0966,1.0,0.0794,1.2007,2.0083,1.0083,2.2534,1.2534,25.6121,2.0245,25.1784,2.0071,100.0,0.0,0.0,0.0,24.0,0.0,25.125,0.0,25.0,0.0,24.0,10.0,0.0,0.0098,0.0088,0.0009,2.0,4.68,1.2681,-0.3414,1.3264,0.0174,1.3655,1.004e-05,1.001,0.0007,2.7683,11.0,0.0708,1.0019,0.2223,2.5688,0.0063,1.0185,0.0478,1.901,0.0,0.0,0.0,-0.142,25.0,24.0,37.0,36.0,13.0,0.0,0.0,0.0,0.0,-0.0244,0.0,0.0103,0.0,0.0
5144,4397.0,1.7717,0.0965,1.0,0.0795,1.201,2.0085,1.0085,2.2533,1.2533,25.4964,2.0199,25.1819,2.0073,100.0,0.0,0.0,0.0,24.0,0.0,25.125,0.0,24.875,0.0,23.875,10.0,0.0,0.0109,0.0088,0.0009,2.0,4.722,1.2697,-0.3116,1.3296,0.0155,1.3653,1.005e-05,1.0011,0.0007,2.7683,11.0,0.0739,1.002,0.1875,2.4948,0.0058,0.9883,0.0477,1.9004,0.0,0.0,0.0,-0.1423,25.0,24.0,37.0,36.0,12.0,0.0,0.0,0.0,0.0,-0.0243,0.0,0.0103,0.0,0.0
5145,4398.0,1.7696,0.0962,1.0,0.0795,1.2008,2.0087,1.0087,2.2528,1.2528,25.418,2.0167,25.1877,2.0075,100.0,0.0,0.0,0.0,24.0,0.0,25.125,0.0,24.875,0.0,23.875,10.0,0.0,0.0101,0.0086,0.0009,2.0,4.7661,1.2713,-0.2419,1.3372,0.0111,1.3649,1.005e-05,1.0011,0.0007,2.7657,11.0,0.0735,1.002,0.2077,2.5393,0.006,1.0011,0.059,1.9928,0.0,0.0,0.0,-0.1423,25.0,24.0,37.0,36.0,14.0,0.0,0.0,0.0,0.0,-0.0247,0.0,0.0106,0.0,0.0
