CAM-CNT,NFD-1-CPS,cam-cnt_abnormal
1.2029,10.0573,0
1.2032,10.0777,0
1.2033,10.0196,0
1.2028,10.119,0
1.2031,9.9517,0
1.2028,9.9827,0
1.2034,9.9096,0
1.2023,9.7977,0
1.2032,9.7315,0
1.203,9.7828,0
1.2031,9.9208,0
1.2028,9.9727,0
1.2031,9.9246,0
1.2035,9.7985,0
1.2031,9.8448,0
1.203,9.7651,0
1.2032,9.8074,0
1.2035,9.8827,0
1.203,10.016,0
1.2028,9.9499,0
1.2035,9.966,0
1.2028,10.0153,0
1.2032,10.0858,0
1.2038,10.007,0
1.2034,10.1236,0
1.203,10.2122,0
1.2025,10.3394,0
1.2027,10.2358,0
1.2026,10.2409,0
1.2026,10.2571,0
1.2031,10.2323,0
1.2022,10.1758,0
1.2022,10.1136,0
1.203,10.209,0
1.2029,10.2181,0
1.202,10.3189,0
1.2029,10.651,0
1.203,10.6769,0
1.203,10.6479,0
1.2034,10.7013,0
1.2033,10.5883,0
1.2026,10.6727,0
1.2026,10.6237,0
1.2033,10.5604,0
1.2034,10.5957,0
1.2034,10.6992,0
1.2033,10.6779,0
1.2033,10.6334,0
1.2031,10.6091,0
1.2032,10.5769,0
1.203,10.4319,0
1.2028,10.3122,0
1.2027,10.4926,0
1.2025,10.4439,0
1.2027,10.6189,0
1.2026,10.5778,0
1.2027,10.4457,0
1.2026,10.3054,0
1.2028,10.2291,0
1.2031,10.1875,0
1.203,10.2356,0
1.2022,10.1609,0
1.2019,9.9784,0
1.2029,10.003,0
1.2032,10.0393,0
1.2031,9.926,0
1.2028,9.7511,0
1.2034,9.7524,0
1.2038,9.7728,0
1.2035,9.7168,0
1.203,9.6546,0
1.203,9.5401,0
1.203,9.4936,0
1.2035,9.4232,0
1.2024,9.3595,0
1.2029,9.3761,0
1.2027,9.3851,0
1.2023,9.2412,0
1.2026,9.2318,0
1.2029,9.2225,0
1.2024,9.3051,0
1.2022,9.452,0
1.2028,9.4642,0
1.2036,9.366,0
1.2034,9.4073,0
1.2033,9.486,0
1.2028,9.4627,0
1.2031,9.3269,0
