Unnamed: 0,adj neg air pressure raw,adj neg air pressure,current alarm mode,cont air counts raw,cont air counts,makeup wtr cond down raw,makeup wtr cond down,makeup wtr cond up raw,makeup wtr cond up,makeup wtr temp down,makeup wtr temp down raw,makeup wtr temp up,makeup wtr temp up raw,DAS health index,0-15 channel error,16-31 channel error status,error detection status 2,card temperature 2,error detection status 3,card temperature 3,error detection status 4,card temperature 4,error detection status 5,card temperature 5,fc positioning 10V supply,fiss-active-state,fiss-position,mag-current,mag-current-raw,mstat,nfd-1-cps,nfd-1cps-raw,nfd-1-cr,nfd-1-cr-raw,nfd-2-cr,nfd-2-cr-raw,nfd-2-log,nfd-2-log-raw,nfd-3-pwr,nfd-3-pwr-raw,nfd-3-pwr-rng,nfd-4-flux,nfd-4-flux-raw,ram-con-lvl,rom-con-lvl-raw,ram-pool-lvl,ram-pool-lvl-raw,ram-wtr-lvl,ram-wtr-lvl-raw,rcs-scram-rel-q,rcs-scram-st-q,rr-active-state,rr-position,rtpbtempa_00,rtpbtempb_00,rtpctempa_00,rtpctempb_00,rtphactcnta_00,rtphactcntb_00,src-active-state,src-position,ss1-active-state,ss1-position,ss2-active-state,ss2-position,ack-button,manual-scram
9283.0,1.721,0.0901,1.0,0.08,1.2024,1.7937,0.7937,2.4217,1.4217,20.1556,1.8062,19.815,1.7926,100.0,0.0,0.0,0.0,25.625,0.0,26.875,0.0,26.75,0.0,25.875,10.0,0.0,0.0124,0.0095,0.0009,2.0,6.0417,1.3125,-0.9676,1.2581,0.014,1.3652,1.003e-05,1.0006,5.977e-05,2.5937,13.0,0.0511,1.0014,0.1324,2.3438,0.02,1.5223,0.0581,1.9862,0.0,0.0,256.0,-0.1641,26.0,26.0,38.0,38.0,13.0,0.0,0.0,0.0,256.0,-0.024,256.0,0.0008,0.0,0.0
9284.0,1.721,0.0901,1.0,0.08,1.2022,1.7936,0.7936,2.4215,1.4215,20.1447,1.8058,19.8282,1.7931,100.0,0.0,0.0,0.0,25.5,0.0,26.875,0.0,26.875,0.0,25.875,10.0,0.0,0.0135,0.0096,0.001,2.0,5.8511,1.3069,-1.033,1.251,0.0115,1.3649,1.003e-05,1.0006,6.047e-05,2.6125,13.0,0.0529,1.0014,0.144,2.3803,0.0207,1.5373,0.0605,2.0034,0.0,0.0,256.0,-0.1641,26.0,26.0,38.0,38.0,13.0,0.0,0.0,0.0,256.0,-0.0241,256.0,0.0009,0.0,0.0
9285.0,1.7223,0.0903,1.0,0.08,1.2022,1.7932,0.7932,2.4214,1.4214,20.3187,1.8127,19.85,1.794,100.0,0.0,0.0,0.0,25.625,0.0,26.75,0.0,26.875,0.0,25.75,10.0,0.0,0.0122,0.0097,0.001,2.0,5.8113,1.3057,-1.0063,1.2539,0.0214,1.366,1.003e-05,1.0007,6.1e-05,2.6267,13.0,0.0522,1.0014,0.1162,2.287,0.0164,1.4374,0.0466,1.8904,0.0,0.0,256.0,-0.1642,26.0,25.0,38.0,38.0,12.0,0.0,0.0,0.0,256.0,-0.0244,256.0,0.0008,0.0,0.0
9286.0,1.7244,0.0905,1.0,0.08,1.2023,1.7935,0.7935,2.4215,1.4215,20.3354,1.8134,19.8348,1.7934,100.0,0.0,0.0,0.0,25.625,0.0,26.75,0.0,26.75,0.0,25.875,10.0,0.0,0.013,0.01,0.001,2.0,5.7139,1.3028,-1.0531,1.2488,0.01,1.3647,1.003e-05,1.0006,5.985e-05,2.596,13.0,0.0536,1.0014,0.1011,2.2265,0.0157,1.4182,0.0493,1.9144,0.0,0.0,256.0,-0.1642,26.0,25.0,38.0,38.0,15.0,0.0,0.0,0.0,256.0,-0.0245,256.0,0.0008,0.0,0.0
9287.0,1.7263,0.0908,1.0,0.08,1.2024,1.7935,0.7935,2.4218,1.4218,20.2768,1.8111,19.8124,1.7925,100.0,0.0,0.0,0.0,25.625,0.0,26.875,0.0,26.875,0.0,25.875,10.0,0.0,0.0126,0.0096,0.0009,2.0,5.6465,1.3007,-1.0394,1.2502,0.0169,1.3655,1.002e-05,1.0006,6.086e-05,2.6229,13.0,0.0525,1.0014,0.1207,2.3034,0.0157,1.4186,0.0525,1.9416,0.0,0.0,256.0,-0.1645,26.0,25.0,38.0,38.0,14.0,0.0,0.0,0.0,256.0,-0.0243,256.0,0.0009,0.0,0.0
9288.0,1.728,0.091,1.0,0.0801,1.2025,1.7937,0.7937,2.4218,1.4218,20.1858,1.8074,19.8155,1.7926,100.0,0.0,0.0,0.0,25.5,0.0,26.875,0.0,26.75,0.0,25.875,10.0,0.0,0.013,0.0095,0.0009,2.0,5.7101,1.3027,-0.9901,1.2556,0.0202,1.3658,1.003e-05,1.0006,5.982e-05,2.5953,13.0,0.0509,1.0014,0.1201,2.3013,0.0143,1.376,0.047,1.8942,0.0,0.0,256.0,-0.1644,26.0,25.0,38.0,38.0,15.0,0.0,0.0,0.0,256.0,-0.0244,256.0,0.0006,0.0,0.0
9289.0,1.7299,0.0912,1.0,0.0801,1.2025,1.7938,0.7938,2.4215,1.4215,20.131,1.8052,19.8255,1.793,100.0,0.0,0.0,0.0,25.75,0.0,27.0,0.0,26.875,0.0,25.875,10.0,0.0,0.013,0.0096,0.0009,2.0,5.5798,1.2986,-1.0534,1.2487,0.0106,1.3648,1.003e-05,1.0006,6.06e-05,2.616,13.0,0.0506,1.0014,0.1888,2.498,0.0138,1.3616,0.0662,2.0425,0.0,0.0,256.0,-0.1641,26.0,25.0,38.0,38.0,14.0,0.0,0.0,0.0,256.0,-0.0241,256.0,0.0008,0.0,0.0
9290.0,1.733,0.0916,1.0,0.0799,1.2019,1.7933,0.7933,2.4214,1.4214,20.275,1.811,19.8416,1.7937,100.0,0.0,0.0,0.0,25.625,0.0,26.875,0.0,27.0,0.0,25.875,10.0,0.0,0.0123,0.0096,0.0009,2.0,5.4273,1.2938,-1.0767,1.2462,0.0254,1.3664,1.003e-05,1.0006,6.096e-05,2.6256,13.0,0.0536,1.0014,0.1445,2.3816,0.0145,1.3844,0.0719,2.0788,0.0,0.0,256.0,-0.1643,26.0,25.0,38.0,38.0,13.0,0.0,0.0,0.0,256.0,-0.0244,256.0,0.001,0.0,0.0
9291.0,1.7359,0.092,1.0,0.0801,1.2026,1.7935,0.7935,2.4219,1.4219,20.3572,1.8143,19.8258,1.793,100.0,0.0,0.0,0.0,25.625,0.0,26.875,0.0,26.875,0.0,25.875,10.0,0.0,0.0122,0.0096,0.001,2.0,5.586,1.2988,-0.9364,1.2615,0.017,1.3655,1.003e-05,1.0007,5.99e-05,2.5973,13.0,0.0579,1.0015,0.1658,2.4415,0.0109,1.2606,0.0658,2.0402,0.0,0.0,256.0,-0.1643,26.0,25.0,38.0,38.0,13.0,0.0,0.0,0.0,256.0,-0.0246,256.0,0.0009,0.0,0.0
9292.0,1.7348,0.0919,1.0,0.08,1.2022,1.794,0.794,2.4218,1.4218,20.3026,1.8121,19.8269,1.7931,100.0,0.0,0.0,0.0,25.75,0.0,26.75,0.0,26.875,0.0,25.875,10.0,0.0,0.0112,0.0093,0.0009,2.0,5.5923,1.299,-0.864,1.2694,0.0085,1.3646,1.003e-05,1.0008,6.088e-05,2.6235,13.0,0.057,1.0015,0.1735,2.4611,0.1363,2.3564,0.0601,2.0007,0.0,0.0,256.0,-0.1642,26.0,25.0,38.0,38.0,14.0,0.0,0.0,0.0,256.0,-0.0245,256.0,0.0007,0.0,0.0
