Unnamed: 0,adj neg air pressure raw,adj neg air pressure,current alarm mode,cont air counts raw,cont air counts,makeup wtr cond down raw,makeup wtr cond down,makeup wtr cond up raw,makeup wtr cond up,makeup wtr temp down,makeup wtr temp down raw,makeup wtr temp up,makeup wtr temp up raw,DAS health index,0-15 channel error,16-31 channel error status,error detection status 2,card temperature 2,error detection status 3,card temperature 3,error detection status 4,card temperature 4,error detection status 5,card temperature 5,fc positioning 10V supply,fiss-active-state,fiss-position,mag-current,mag-current-raw,mstat,nfd-1-cps,nfd-1cps-raw,nfd-1-cr,nfd-1-cr-raw,nfd-2-cr,nfd-2-cr-raw,nfd-2-log,nfd-2-log-raw,nfd-3-pwr,nfd-3-pwr-raw,nfd-3-pwr-rng,nfd-4-flux,nfd-4-flux-raw,ram-con-lvl,rom-con-lvl-raw,ram-pool-lvl,ram-pool-lvl-raw,ram-wtr-lvl,ram-wtr-lvl-raw,rcs-scram-rel-q,rcs-scram-st-q,rr-active-state,rr-position,rtpbtempa_00,rtpbtempb_00,rtpctempa_00,rtpctempb_00,rtphactcnta_00,rtphactcntb_00,src-active-state,src-position,ss1-active-state,ss1-position,ss2-active-state,ss2-position,ack-button,manual-scram
19465,1.7373,0.0922,1,0.0798,1.2017,1.8193,0.8193,2.4376,1.4376,20.9495,1.838,20.4836,1.8193,100,0,0,0,24,0,25.25,0,25.375,0,24.375,10,0,0.0039,53.945,5.3944,2,5.7381,1.3035,0.0456,1.3686,0.0016,1.3638,1.001e-05,1.0003,0.0002,2.7882,12,0.0484,1.0013,0.2601,2.637,0.1013,2.2276,0.0434,1.8598,0,0,0,-0.1568,25,24,37,36,13,0,0,0,0,-0.0275,0,-0.0051,0,0
19466,1.735,0.0919,1,0.0797,1.2015,1.8197,0.8197,2.4379,1.4379,20.9291,1.8372,20.4704,1.8188,100,0,0,0,24,0,25.25,0,25.375,0,24.375,10,0,0.0038,53.9425,5.3941,2,5.895,1.3082,0.14,1.3789,0.0207,1.3659,1.001e-05,1.0003,0.0002,2.7857,12,0.0508,1.0014,0.2301,2.5838,0.1064,2.2489,0.0564,1.9735,0,0,0,-0.1567,24,24,37,36,13,0,0,0,0,-0.027,0,-0.0052,0,0
19467,1.732,0.0915,1,0.0797,1.2015,1.8197,0.8197,2.4379,1.4379,20.8379,1.8335,20.4656,1.8186,100,0,0,0,24.125,0,25.25,0,25.5,0,24.375,10,0,0.0039,53.9396,5.3938,2,5.8499,1.3069,0.1044,1.375,0.0106,1.3648,1.001e-05,1.0003,0.0002,2.7871,12,0.0483,1.0013,0.2235,2.5711,0.0921,2.1859,0.0456,1.881,0,0,0,-0.157,24,24,37,36,15,0,0,0,0,-0.0271,0,-0.005,0,0
19468,1.732,0.0915,1,0.0797,1.2013,1.82,0.82,2.4377,1.4377,20.7235,1.8289,20.472,1.8189,100,0,0,0,24,0,25.25,0,25.5,0,24.375,10,0,0.004,53.9371,5.3936,2,5.8779,1.3077,0.1164,1.3763,0.0035,1.364,1.002e-05,1.0004,0.0002,2.7787,12,0.0499,1.0013,0.2113,2.5467,0.1002,2.2228,0.0653,2.0367,0,0,0,-0.1566,24,24,37,36,14,0,0,0,0,-0.0272,0,-0.0051,0,0
19469,1.7324,0.0915,1,0.0797,1.2013,1.8195,0.8195,2.4375,1.4375,20.7972,1.8319,20.4955,1.8198,100,0,0,0,24.125,0,25.5,0,25.375,0,24.375,10,0,0.0043,53.9347,5.3933,2,5.9359,1.3094,0.1047,1.3751,0.0207,1.3659,1.002e-05,1.0004,0.0002,2.7824,12,0.0493,1.0013,0.1831,2.4846,0.0854,2.1533,0.062,2.014,0,0,0,-0.1566,24,24,37,36,13,0,0,0,0,-0.0274,0,-0.0052,0,0
19470,1.7354,0.0919,1,0.08,1.2022,1.819,0.819,2.4377,1.4377,20.9497,1.838,20.483,1.8193,100,0,0,0,24.125,0,25.25,0,25.5,0,24.375,10,0,0.0041,53.9321,5.3931,2,5.7793,1.3048,0.0137,1.3651,0.011,1.3648,1.002e-05,1.0004,0.0002,2.7893,12,0.0479,1.0013,0.2051,2.5339,0.079,2.1197,0.0631,2.0219,0,0,0,-0.1571,24,24,37,36,13,0,0,0,0,-0.0272,0,-0.0049,0,0
19471,1.7393,0.0924,1,0.0797,1.2015,1.8197,0.8197,2.4383,1.4383,20.9396,1.8376,20.4718,1.8189,100,0,0,0,24.125,0,25.25,0,25.5,0,24.375,10,0,0.005,53.9301,5.3929,2,5.6889,1.302,-0.0521,1.358,0.004,1.3641,1.002e-05,1.0004,0.0002,2.7839,12,0.0494,1.0013,0.1624,2.4324,0.074,2.0913,0.0676,2.0519,0,0,0,-0.1565,24,24,37,36,13,0,0,0,0,-0.0275,0,-0.0049,0,0
19472,1.7411,0.0926,1,0.08,1.2022,1.82,0.82,2.4379,1.4379,20.8482,1.8339,20.4752,1.819,100,0,0,0,24.125,0,25.25,0,25.5,0,24.25,10,0,0.0046,53.928,5.3927,2,5.6533,1.3009,-0.0086,1.3627,0.0227,1.3661,1.002e-05,1.0004,0.0002,2.7867,12,0.0496,1.0013,0.1623,2.4321,0.0737,2.0893,0.0669,2.0474,0,0,0,-0.1568,24,24,37,36,13,0,0,0,0,-0.0273,0,-0.0047,0,0
19473,1.7405,0.0926,1,0.08,1.2023,1.8199,0.8199,2.4376,1.4376,20.7232,1.8289,20.4707,1.8188,100,0,0,0,24,0,25.25,0,25.5,0,24.375,10,0,0.0046,53.9254,5.3924,2,5.7195,1.3029,0.0126,1.365,0.0134,1.3651,1.002e-05,1.0004,0.0002,2.7848,12,0.051,1.0014,0.1512,2.4014,0.0677,2.0524,0.0692,2.062,0,0,0,-0.1569,24,24,37,36,12,0,0,0,0,-0.0275,0,-0.0052,0,0
19474,1.738,0.0923,1,0.0799,1.202,1.8192,0.8192,2.4374,1.4374,20.7825,1.8313,20.4837,1.8193,100,0,0,0,24,0,25.375,0,25.5,0,24.25,10,0,0.0042,53.9228,5.3922,2,5.6809,1.3018,-0.0613,1.3569,0.0045,1.3641,1.002e-05,1.0004,0.0002,2.7811,12,0.0495,1.0013,0.1602,2.4266,0.0659,2.0409,0.0757,2.1007,0,0,0,-0.157,24,24,37,36,14,0,0,0,0,-0.0272,0,-0.0052,0,0
19475,1.7381,0.0923,1,0.0796,1.2013,1.819,0.819,2.4375,1.4375,20.929,1.8372,20.4868,1.8195,100,0,0,0,24.125,0,25.375,0,25.5,0,24.375,10,0,0.0038,53.9201,5.3919,2,5.509,1.2964,-0.1368,1.3487,0.0232,1.3662,1.001e-05,1.0003,0.0002,2.7801,12,0.0477,1.0013,0.1621,2.4317,0.0569,1.9766,0.0841,2.1466,0,0,0,-0.157,24,24,37,36,14,0,0,0,0,-0.0273,0,-0.005,0,0
19476,1.6207,0.0776,1,0.0796,1.2013,1.8197,0.8197,2.4376,1.4376,20.9443,1.8378,20.4835,1.8193,100,0,0,0,24.125,0,25.25,0,25.375,0,24.375,10,0,0.0043,53.9177,5.3917,2,5.4566,1.2948,-0.1839,1.3436,0.0158,1.3654,1.001e-05,1.0003,0.0002,2.7825,12,0.0486,1.0013,0.1481,2.3923,0.0641,2.0287,0.0816,2.1337,0,0,0,-0.1569,24,24,37,36,14,0,0,0,0,-0.0273,0,-0.0053,0,0
19477,1.396,0.0495,1,0.0797,1.2013,1.8199,0.8199,2.4375,1.4375,20.8676,1.8347,20.4747,1.819,100,0,0,0,24,0,25.25,0,25.5,0,24.25,10,0,0.0035,53.9154,5.3914,2,5.4067,1.2932,-0.1844,1.3435,0.0063,1.3643,1.001e-05,1.0003,0.0002,2.7841,12,0.0493,1.0013,0.1411,2.3714,0.0591,1.9935,0.0771,2.1088,0,0,0,-0.1566,24,24,37,36,13,0,0,0,0,-0.0271,0,-0.0052,0,0
19478,1.2492,0.0312,1,0.0796,1.2013,1.8199,0.8199,2.4377,1.4377,20.7364,1.8295,20.4627,1.8185,100,0,0,0,24.125,0,25.25,0,25.375,0,24.375,10,0,0.0041,53.9126,5.3911,2,5.4452,1.2944,-0.1593,1.3463,0.0249,1.3664,1.001e-05,1.0003,0.0002,2.7864,12,0.0481,1.0013,0.1475,2.3906,0.0567,1.9753,0.075,2.097,0,0,0,-0.1567,24,24,37,36,13,0,0,0,0,-0.0272,0,-0.0049,0,0
19479,1.2144,0.0268,1,0.0797,1.2014,1.8193,0.8193,2.4379,1.4379,20.7552,1.8302,20.4801,1.8192,100,0,0,0,24.125,0,25.25,0,25.5,0,24.375,10,0,0.0044,53.9108,5.391,2,5.3968,1.2929,-0.1927,1.3426,0.0163,1.3654,1.002e-05,1.0004,0.0002,2.7895,12,0.049,1.0013,0.114,2.2789,0.0524,1.9413,0.0666,2.0453,0,0,0,-0.1567,24,24,37,36,14,0,0,0,0,-0.0276,0,-0.0053,0,0
19480,1.1735,0.0217,1,0.0794,1.2006,1.8189,0.8189,2.4379,1.4379,20.911,1.8364,20.4894,1.8196,100,0,0,0,24.125,0,25.375,0,25.5,0,24.375,10,0,0.0044,53.9085,5.3907,2,5.3827,1.2924,-0.1731,1.3448,0.0074,1.3644,1.002e-05,1.0004,0.0002,2.7866,12,0.0486,1.0013,0.1374,2.36,0.0457,1.8816,0.0738,2.0897,0,0,0,-0.1569,24,24,37,36,15,0,0,0,0,-0.0278,0,-0.0051,0,0
19481,1.1585,0.0198,1,0.0794,1.2007,1.8196,0.8196,2.438,1.438,20.9545,1.8382,20.4745,1.819,100,0,0,0,24,0,25.375,0,25.5,0,24.375,10,0,0.0044,53.9065,5.3905,2,5.4016,1.293,-0.1436,1.348,0.0238,1.3662,1.002e-05,1.0004,0.0002,2.7887,12,0.0484,1.0013,0.1202,2.3016,0.0431,1.8563,0.0646,2.0323,0,0,0,-0.1566,24,24,37,36,13,0,0,0,0,-0.0274,0,-0.0049,0,0
19482,1.1596,0.0199,1,0.0796,1.2011,1.8203,0.8203,2.4374,1.4374,20.875,1.835,20.477,1.8191,100,0,0,0,24,0,25.25,0,25.375,0,24.25,10,0,0.0044,53.904,5.3903,2,5.4455,1.2944,-0.1124,1.3514,0.019,1.3657,1.002e-05,1.0004,0.0002,2.7865,12,0.0523,1.0014,0.1737,2.4615,0.0438,1.8631,0.0558,1.9685,0,0,0,-0.1565,24,24,37,36,14,0,0,0,0,-0.0272,0,-0.0053,0,0
19483,1.3747,0.0468,1,0.0796,1.2011,1.82,0.82,2.4374,1.4374,20.7567,1.8303,20.4729,1.8189,100,0,0,0,24,0,25.25,0,25.5,0,24.375,10,0,0.0041,53.9018,5.3901,2,5.4003,1.293,-0.2134,1.3404,0.0091,1.3646,1.002e-05,1.0004,0.0002,2.7809,12,0.051,1.0014,0.1751,2.465,0.1264,2.3236,0.061,2.0069,0,0,0,-0.1565,24,24,37,36,13,0,0,0,0,-0.0273,0,-0.0051,0,0
19484,1.5264,0.0658,1,0.0797,1.2015,1.8194,0.8194,2.4371,1.4371,20.737,1.8295,20.4783,1.8191,100,0,0,0,24.125,0,25.25,0,25.5,0,24.375,10,0,0.0044,53.8993,5.3898,2,5.2634,1.2885,-0.2335,1.3382,0.0252,1.3664,1.002e-05,1.0005,0.0002,2.7844,12,0.0537,1.0014,0.1822,2.4824,0.1281,2.3294,0.0608,2.0054,0,0,0,-0.1569,24,24,37,36,16,0,0,0,0,-0.0273,0,-0.0052,0,0
19485,1.6118,0.0765,1,0.0801,1.2024,1.8194,0.8194,2.4371,1.4371,20.9056,1.8362,20.4907,1.8196,100,0,0,0,24,0,25.25,0,25.5,0,24.25,10,0,0.0042,53.8968,5.3895,2,5.2253,1.2872,-0.2963,1.3313,0.0204,1.3659,1.003e-05,1.0006,0.0002,2.7765,12,0.0584,1.0016,0.1473,2.39,0.1476,2.391,0.054,1.954,0,0,0,-0.1562,24,24,37,36,13,0,0,0,0,-0.0271,0,-0.0051,0,0
19486,1.6617,0.0827,1,0.08,1.2022,1.8197,0.8197,2.4372,1.4372,20.9517,1.8381,20.484,1.8194,100,0,0,0,24,0,25.25,0,25.5,0,24.375,10,0,0.0038,53.8946,5.3893,2,5.1246,1.2839,-0.3096,1.3299,0.0113,1.3649,1.002e-05,1.0006,0.0002,2.79,12,0.0571,1.0015,0.1354,2.3536,0.1345,2.3505,0.052,1.9375,0,0,0,-0.1566,24,24,37,36,13,0,0,0,0,-0.0274,0,-0.0052,0,0
19487,1.6878,0.086,1,0.0797,1.2014,1.8199,0.8199,2.4371,1.4371,20.8967,1.8359,20.4781,1.8191,100,0,0,0,24.125,0,25.25,0,25.375,0,24.25,10,0,0.0035,53.8929,5.3891,2,5.133,1.2841,-0.3203,1.3287,0.0122,1.365,1.003e-05,1.0006,0.0002,2.7765,12,0.0573,1.0015,0.2035,2.5303,0.1292,2.333,0.0672,2.0492,0,0,0,-0.1566,25,24,37,36,13,0,0,0,0,-0.0274,0,-0.0049,0,0
19488,1.7067,0.0883,1,0.08,1.2023,1.82,0.82,2.437,1.437,20.7922,1.8317,20.4743,1.819,100,0,0,0,24.125,0,25.25,0,25.5,0,24.375,10,0,0.0043,53.8903,5.3889,2,5.0952,1.2829,-0.3318,1.3274,0.0242,1.3663,1.002e-05,1.0005,0.0002,2.7786,12,0.0556,1.0015,0.262,2.6402,0.1212,2.3053,0.0626,2.0181,0,0,0,-0.1565,25,24,37,36,14,0,0,0,0,-0.0272,0,-0.0051,0,0
19489,1.7269,0.0909,1,0.0799,1.202,1.8199,0.8199,2.4368,1.4368,20.7337,1.8293,20.4858,1.8194,100,0,0,0,24,0,25.375,0,25.5,0,24.375,10,0,0.0042,53.8878,5.3887,2,5.1198,1.2837,-0.2515,1.3362,0.0121,1.365,1.002e-05,1.0006,0.0002,2.7854,12,0.0587,1.0016,0.2631,2.642,0.1057,2.2458,0.0556,1.9667,0,0,0,-0.1566,25,24,37,36,14,0,0,0,0,-0.0273,0,-0.0049,0,0
19490,1.7332,0.0917,1,0.0801,1.2026,1.8194,0.8194,2.437,1.437,20.8479,1.8339,20.4919,1.8197,100,0,0,0,24.125,0,25.375,0,25.5,0,24.375,10,0,0.0038,53.8859,5.3885,2,5.2222,1.2871,-0.2242,1.3392,0.0059,1.3643,1.002e-05,1.0006,0.0002,2.7892,12,0.0583,1.0016,0.2326,2.5885,0.1102,2.2642,0.0549,1.961,0,0,0,-0.1568,25,24,37,36,15,0,0,0,0,-0.0274,0,-0.0049,0,0
19491,1.7368,0.0921,1,0.08,1.2024,1.8192,0.8192,2.4374,1.4374,20.9576,1.8383,20.477,1.8191,100,0,0,0,24.125,0,25.25,0,25.5,0,24.375,10,0,0.0046,53.8834,5.3882,2,5.2703,1.2887,-0.105,1.3522,0.0246,1.3663,1.002e-05,1.0005,0.0002,2.786,12,0.0576,1.0015,0.2175,2.5593,0.0914,2.183,0.0589,1.9919,0,0,0,-0.1567,24,24,37,36,13,0,0,0,0,-0.0275,0,-0.0046,0,0
19492,1.7406,0.0926,1,0.0799,1.2019,1.8195,0.8195,2.4375,1.4375,20.8988,1.836,20.4701,1.8188,100,0,0,0,24,0,25.375,0,25.5,0,24.375,10,0,0.0043,53.8817,5.3881,2,5.347,1.2912,-0.1266,1.3498,0.0159,1.3654,1.002e-05,1.0006,0.0002,2.7889,12,0.0575,1.0015,0.1906,2.5021,0.0921,2.1863,0.0605,2.0035,0,0,0,-0.1568,24,24,37,36,13,0,0,0,0,-0.0269,0,-0.0052,0,0
19493,1.7441,0.093,1,0.0799,1.2021,1.8196,0.8196,2.4375,1.4375,20.7902,1.8316,20.4639,1.8186,100,0,0,0,24.125,0,25.375,0,25.375,0,24.375,10,0,0.0043,53.8798,5.3878,2,5.3093,1.29,-0.1287,1.3496,0.0064,1.3643,1.002e-05,1.0005,0.0002,2.7857,12,0.0564,1.0015,0.2128,2.5498,0.0827,2.1395,0.0783,2.1158,0,0,0,-0.1566,24,24,37,36,12,0,0,0,0,-0.0275,0,-0.005,0,0
19494,1.7487,0.0936,1,0.0799,1.2019,1.8195,0.8195,2.4372,1.4372,20.7176,1.8287,20.4704,1.8188,100,0,0,0,24.125,0,25.375,0,25.5,0,24.375,10,0,0.004,53.8773,5.3876,2,5.301,1.2897,-0.0766,1.3553,0.0256,1.3664,1.003e-05,1.0006,0.0002,2.7765,12,0.0578,1.0015,0.2305,2.5844,0.0689,2.06,0.0794,2.1215,0,0,0,-0.1564,24,24,37,36,14,0,0,0,0,-0.0274,0,-0.0052,0,0
19495,1.7504,0.0938,1,0.0799,1.2021,1.8194,0.8194,2.4367,1.4367,20.8529,1.8341,20.4876,1.8195,100,0,0,0,24,0,25.375,0,25.5,0,24.375,10,0,0.0051,53.8747,5.3874,2,5.3368,1.2909,-0.1357,1.3488,0.0154,1.3653,1.003e-05,1.0006,0.0002,2.7898,12,0.058,1.0015,0.2355,2.5938,0.0737,2.0891,0.0743,2.093,0,0,0,-0.1563,25,24,37,36,15,0,0,0,0,-0.0272,0,-0.0049,0,0
